Module,Endpoint,Case ID,Type,Priority,Automation Status,Owner,Sprint,Scenario,Description,Test Steps,Expected Result
Authorization / RBAC,Cross-endpoint,RBAC-009,Positive/Negative/Break,P0-P1,Pending,QE Security,Sprint-2,authorization and role-based access control validation - positive baseline case RBAC-009,Validate authorization and role-based access control validation for endpoint Cross-endpoint under a positive baseline condition with production-like assertions.,"1. Prepare test data and prerequisites for positive baseline. 2. Invoke Cross-endpoint with crafted request and correlation-id. 3. Assert status code, response schema, business rules, and side-effects/log evidence.","System handles positive baseline correctly with deterministic response, correct authorization, and no data/security regression."
Authorization / RBAC,Cross-endpoint,RBAC-010,Positive/Negative/Break,P0-P1,Pending,QE Security,Sprint-2,authorization and role-based access control validation - negative validation case RBAC-010,Validate authorization and role-based access control validation for endpoint Cross-endpoint under a negative validation condition with production-like assertions.,"1. Prepare test data and prerequisites for negative validation. 2. Invoke Cross-endpoint with crafted request and correlation-id. 3. Assert status code, response schema, business rules, and side-effects/log evidence.","System handles negative validation correctly with deterministic response, correct authorization, and no data/security regression."
Reports API,GET /api/reports/get_locations,RPT-001,Positive,P0,Automated,QE API Team,Sprint-0,"reporting endpoint functional, validation, and robustness checks - positive baseline case RPT-001","Validate reporting endpoint functional, validation, and robustness checks for endpoint GET /api/reports/get_locations under a positive baseline condition with production-like assertions.","1. Prepare test data and prerequisites for positive baseline. 2. Invoke GET /api/reports/get_locations with crafted request and correlation-id. 3. Assert status code, response schema, business rules, and side-effects/log evidence.","System handles positive baseline correctly with deterministic response, correct authorization, and no data/security regression."
Reports API,GET /api/reports/*,RPT-002,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,"reporting endpoint functional, validation, and robustness checks - negative validation case RPT-002","Validate reporting endpoint functional, validation, and robustness checks for endpoint GET /api/reports/* under a negative validation condition with production-like assertions.","1. Prepare test data and prerequisites for negative validation. 2. Invoke GET /api/reports/* with crafted request and correlation-id. 3. Assert status code, response schema, business rules, and side-effects/log evidence.","System handles negative validation correctly with deterministic response, correct authorization, and no data/security regression."
Reports API,GET /api/reports/get_device_count,RPT-003,Positive,P0,Automated,QE API Team,Sprint-0,"reporting endpoint functional, validation, and robustness checks - edge-condition case RPT-003","Validate reporting endpoint functional, validation, and robustness checks for endpoint GET /api/reports/get_device_count under a edge-condition condition with production-like assertions.","1. Prepare test data and prerequisites for edge-condition. 2. Invoke GET /api/reports/get_device_count with crafted request and correlation-id. 3. Assert status code, response schema, business rules, and side-effects/log evidence.","System handles edge-condition correctly with deterministic response, correct authorization, and no data/security regression."
Reports API,GET /api/reports/*,RPT-004,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,"reporting endpoint functional, validation, and robustness checks - break/abuse case RPT-004","Validate reporting endpoint functional, validation, and robustness checks for endpoint GET /api/reports/* under a break/abuse condition with production-like assertions.","1. Prepare test data and prerequisites for break/abuse. 2. Invoke GET /api/reports/* with crafted request and correlation-id. 3. Assert status code, response schema, business rules, and side-effects/log evidence.","System handles break/abuse correctly with deterministic response, correct authorization, and no data/security regression."
Reports API,GET /api/reports/*,RPT-005,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,"reporting endpoint functional, validation, and robustness checks - positive baseline case RPT-005","Validate reporting endpoint functional, validation, and robustness checks for endpoint GET /api/reports/* under a positive baseline condition with production-like assertions.","1. Prepare test data and prerequisites for positive baseline. 2. Invoke GET /api/reports/* with crafted request and correlation-id. 3. Assert status code, response schema, business rules, and side-effects/log evidence.","System handles positive baseline correctly with deterministic response, correct authorization, and no data/security regression."
Reports API,GET /api/reports/*,RPT-006,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,"reporting endpoint functional, validation, and robustness checks - negative validation case RPT-006","Validate reporting endpoint functional, validation, and robustness checks for endpoint GET /api/reports/* under a negative validation condition with production-like assertions.","1. Prepare test data and prerequisites for negative validation. 2. Invoke GET /api/reports/* with crafted request and correlation-id. 3. Assert status code, response schema, business rules, and side-effects/log evidence.","System handles negative validation correctly with deterministic response, correct authorization, and no data/security regression."
Reports API,GET /api/reports/*,RPT-007,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,"reporting endpoint functional, validation, and robustness checks - edge-condition case RPT-007","Validate reporting endpoint functional, validation, and robustness checks for endpoint GET /api/reports/* under a edge-condition condition with production-like assertions.","1. Prepare test data and prerequisites for edge-condition. 2. Invoke GET /api/reports/* with crafted request and correlation-id. 3. Assert status code, response schema, business rules, and side-effects/log evidence.","System handles edge-condition correctly with deterministic response, correct authorization, and no data/security regression."
Reports API,GET /api/reports/*,RPT-008,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,"reporting endpoint functional, validation, and robustness checks - break/abuse case RPT-008","Validate reporting endpoint functional, validation, and robustness checks for endpoint GET /api/reports/* under a break/abuse condition with production-like assertions.","1. Prepare test data and prerequisites for break/abuse. 2. Invoke GET /api/reports/* with crafted request and correlation-id. 3. Assert status code, response schema, business rules, and side-effects/log evidence.","System handles break/abuse correctly with deterministic response, correct authorization, and no data/security regression."
Reports API,GET /api/reports/get_device_count,RPT-009,Negative,P0,Automated,QE API Team,Sprint-0,"reporting endpoint functional, validation, and robustness checks - positive baseline case RPT-009","Validate reporting endpoint functional, validation, and robustness checks for endpoint GET /api/reports/get_device_count under a positive baseline condition with production-like assertions.","1. Prepare test data and prerequisites for positive baseline. 2. Invoke GET /api/reports/get_device_count with crafted request and correlation-id. 3. Assert status code, response schema, business rules, and side-effects/log evidence.","System handles positive baseline correctly with deterministic response, correct authorization, and no data/security regression."
Reports API,GET /api/reports/*,RPT-010,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,"reporting endpoint functional, validation, and robustness checks - negative validation case RPT-010","Validate reporting endpoint functional, validation, and robustness checks for endpoint GET /api/reports/* under a negative validation condition with production-like assertions.","1. Prepare test data and prerequisites for negative validation. 2. Invoke GET /api/reports/* with crafted request and correlation-id. 3. Assert status code, response schema, business rules, and side-effects/log evidence.","System handles negative validation correctly with deterministic response, correct authorization, and no data/security regression."
Reports API,GET /api/reports/*,RPT-011,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,"reporting endpoint functional, validation, and robustness checks - edge-condition case RPT-011","Validate reporting endpoint functional, validation, and robustness checks for endpoint GET /api/reports/* under a edge-condition condition with production-like assertions.","1. Prepare test data and prerequisites for edge-condition. 2. Invoke GET /api/reports/* with crafted request and correlation-id. 3. Assert status code, response schema, business rules, and side-effects/log evidence.","System handles edge-condition correctly with deterministic response, correct authorization, and no data/security regression."
Reports API,GET /api/reports/*,RPT-012,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,"reporting endpoint functional, validation, and robustness checks - break/abuse case RPT-012","Validate reporting endpoint functional, validation, and robustness checks for endpoint GET /api/reports/* under a break/abuse condition with production-like assertions.","1. Prepare test data and prerequisites for break/abuse. 2. Invoke GET /api/reports/* with crafted request and correlation-id. 3. Assert status code, response schema, business rules, and side-effects/log evidence.","System handles break/abuse correctly with deterministic response, correct authorization, and no data/security regression."
Reports API,GET /api/reports/*,RPT-013,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,"reporting endpoint functional, validation, and robustness checks - positive baseline case RPT-013","Validate reporting endpoint functional, validation, and robustness checks for endpoint GET /api/reports/* under a positive baseline condition with production-like assertions.","1. Prepare test data and prerequisites for positive baseline. 2. Invoke GET /api/reports/* with crafted request and correlation-id. 3. Assert status code, response schema, business rules, and side-effects/log evidence.","System handles positive baseline correctly with deterministic response, correct authorization, and no data/security regression."
Reports API,GET /api/reports/*,RPT-014,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,"reporting endpoint functional, validation, and robustness checks - negative validation case RPT-014","Validate reporting endpoint functional, validation, and robustness checks for endpoint GET /api/reports/* under a negative validation condition with production-like assertions.","1. Prepare test data and prerequisites for negative validation. 2. Invoke GET /api/reports/* with crafted request and correlation-id. 3. Assert status code, response schema, business rules, and side-effects/log evidence.","System handles negative validation correctly with deterministic response, correct authorization, and no data/security regression."
Reports API,GET /api/reports/*,RPT-015,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,"reporting endpoint functional, validation, and robustness checks - edge-condition case RPT-015","Validate reporting endpoint functional, validation, and robustness checks for endpoint GET /api/reports/* under a edge-condition condition with production-like assertions.","1. Prepare test data and prerequisites for edge-condition. 2. Invoke GET /api/reports/* with crafted request and correlation-id. 3. Assert status code, response schema, business rules, and side-effects/log evidence.","System handles edge-condition correctly with deterministic response, correct authorization, and no data/security regression."
Reports API,GET /api/reports/*,RPT-016,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,"reporting endpoint functional, validation, and robustness checks - break/abuse case RPT-016","Validate reporting endpoint functional, validation, and robustness checks for endpoint GET /api/reports/* under a break/abuse condition with production-like assertions.","1. Prepare test data and prerequisites for break/abuse. 2. Invoke GET /api/reports/* with crafted request and correlation-id. 3. Assert status code, response schema, business rules, and side-effects/log evidence.","System handles break/abuse correctly with deterministic response, correct authorization, and no data/security regression."
Reports API,GET /api/reports/*,RPT-017,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,"reporting endpoint functional, validation, and robustness checks - positive baseline case RPT-017","Validate reporting endpoint functional, validation, and robustness checks for endpoint GET /api/reports/* under a positive baseline condition with production-like assertions.","1. Prepare test data and prerequisites for positive baseline. 2. Invoke GET /api/reports/* with crafted request and correlation-id. 3. Assert status code, response schema, business rules, and side-effects/log evidence.","System handles positive baseline correctly with deterministic response, correct authorization, and no data/security regression."
Reports API,GET /api/reports/*,RPT-018,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,"reporting endpoint functional, validation, and robustness checks - negative validation case RPT-018","Validate reporting endpoint functional, validation, and robustness checks for endpoint GET /api/reports/* under a negative validation condition with production-like assertions.","1. Prepare test data and prerequisites for negative validation. 2. Invoke GET /api/reports/* with crafted request and correlation-id. 3. Assert status code, response schema, business rules, and side-effects/log evidence.","System handles negative validation correctly with deterministic response, correct authorization, and no data/security regression."
Reports API,GET /api/reports/*,RPT-019,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,"reporting endpoint functional, validation, and robustness checks - edge-condition case RPT-019","Validate reporting endpoint functional, validation, and robustness checks for endpoint GET /api/reports/* under a edge-condition condition with production-like assertions.","1. Prepare test data and prerequisites for edge-condition. 2. Invoke GET /api/reports/* with crafted request and correlation-id. 3. Assert status code, response schema, business rules, and side-effects/log evidence.","System handles edge-condition correctly with deterministic response, correct authorization, and no data/security regression."
Reports API,GET /api/reports/*,RPT-020,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,"reporting endpoint functional, validation, and robustness checks - break/abuse case RPT-020","Validate reporting endpoint functional, validation, and robustness checks for endpoint GET /api/reports/* under a break/abuse condition with production-like assertions.","1. Prepare test data and prerequisites for break/abuse. 2. Invoke GET /api/reports/* with crafted request and correlation-id. 3. Assert status code, response schema, business rules, and side-effects/log evidence.","System handles break/abuse correctly with deterministic response, correct authorization, and no data/security regression."
Reports API,GET /api/reports/*,RPT-021,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,"reporting endpoint functional, validation, and robustness checks - positive baseline case RPT-021","Validate reporting endpoint functional, validation, and robustness checks for endpoint GET /api/reports/* under a positive baseline condition with production-like assertions.","1. Prepare test data and prerequisites for positive baseline. 2. Invoke GET /api/reports/* with crafted request and correlation-id. 3. Assert status code, response schema, business rules, and side-effects/log evidence.","System handles positive baseline correctly with deterministic response, correct authorization, and no data/security regression."
Reports API,GET /api/reports/*,RPT-022,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,"reporting endpoint functional, validation, and robustness checks - negative validation case RPT-022","Validate reporting endpoint functional, validation, and robustness checks for endpoint GET /api/reports/* under a negative validation condition with production-like assertions.","1. Prepare test data and prerequisites for negative validation. 2. Invoke GET /api/reports/* with crafted request and correlation-id. 3. Assert status code, response schema, business rules, and side-effects/log evidence.","System handles negative validation correctly with deterministic response, correct authorization, and no data/security regression."
Reports API,GET /api/reports/*,RPT-023,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,"reporting endpoint functional, validation, and robustness checks - edge-condition case RPT-023","Validate reporting endpoint functional, validation, and robustness checks for endpoint GET /api/reports/* under a edge-condition condition with production-like assertions.","1. Prepare test data and prerequisites for edge-condition. 2. Invoke GET /api/reports/* with crafted request and correlation-id. 3. Assert status code, response schema, business rules, and side-effects/log evidence.","System handles edge-condition correctly with deterministic response, correct authorization, and no data/security regression."
Reports API,GET /api/reports/*,RPT-024,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,"reporting endpoint functional, validation, and robustness checks - break/abuse case RPT-024","Validate reporting endpoint functional, validation, and robustness checks for endpoint GET /api/reports/* under a break/abuse condition with production-like assertions.","1. Prepare test data and prerequisites for break/abuse. 2. Invoke GET /api/reports/* with crafted request and correlation-id. 3. Assert status code, response schema, business rules, and side-effects/log evidence.","System handles break/abuse correctly with deterministic response, correct authorization, and no data/security regression."
Reports API,GET /api/reports/*,RPT-025,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-1,"reporting endpoint functional, validation, and robustness checks - positive baseline case RPT-025","Validate reporting endpoint functional, validation, and robustness checks for endpoint GET /api/reports/* under a positive baseline condition with production-like assertions.","1. Prepare test data and prerequisites for positive baseline. 2. Invoke GET /api/reports/* with crafted request and correlation-id. 3. Assert status code, response schema, business rules, and side-effects/log evidence.","System handles positive baseline correctly with deterministic response, correct authorization, and no data/security regression."
API Key Reports,GET /reports/api_*,APIKEY-001,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-2,API-key protected report detail endpoint controls - positive baseline case APIKEY-001,Validate API-key protected report detail endpoint controls for endpoint GET /reports/api_* under a positive baseline condition with production-like assertions.,"1. Prepare test data and prerequisites for positive baseline. 2. Invoke GET /reports/api_* with crafted request and correlation-id. 3. Assert status code, response schema, business rules, and side-effects/log evidence.","System handles positive baseline correctly with deterministic response, correct authorization, and no data/security regression."
API Key Reports,GET /reports/api_scan_details,APIKEY-002,Negative,P0,Automated,QE API Team,Sprint-0,API-key protected report detail endpoint controls - negative validation case APIKEY-002,Validate API-key protected report detail endpoint controls for endpoint GET /reports/api_scan_details under a negative validation condition with production-like assertions.,"1. Prepare test data and prerequisites for negative validation. 2. Invoke GET /reports/api_scan_details with crafted request and correlation-id. 3. Assert status code, response schema, business rules, and side-effects/log evidence.","System handles negative validation correctly with deterministic response, correct authorization, and no data/security regression."
API Key Reports,GET /reports/api_*,APIKEY-003,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-2,API-key protected report detail endpoint controls - edge-condition case APIKEY-003,Validate API-key protected report detail endpoint controls for endpoint GET /reports/api_* under a edge-condition condition with production-like assertions.,"1. Prepare test data and prerequisites for edge-condition. 2. Invoke GET /reports/api_* with crafted request and correlation-id. 3. Assert status code, response schema, business rules, and side-effects/log evidence.","System handles edge-condition correctly with deterministic response, correct authorization, and no data/security regression."
API Key Reports,GET /reports/api_*,APIKEY-004,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-2,API-key protected report detail endpoint controls - break/abuse case APIKEY-004,Validate API-key protected report detail endpoint controls for endpoint GET /reports/api_* under a break/abuse condition with production-like assertions.,"1. Prepare test data and prerequisites for break/abuse. 2. Invoke GET /reports/api_* with crafted request and correlation-id. 3. Assert status code, response schema, business rules, and side-effects/log evidence.","System handles break/abuse correctly with deterministic response, correct authorization, and no data/security regression."
API Key Reports,GET /reports/api_*,APIKEY-005,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-2,API-key protected report detail endpoint controls - positive baseline case APIKEY-005,Validate API-key protected report detail endpoint controls for endpoint GET /reports/api_* under a positive baseline condition with production-like assertions.,"1. Prepare test data and prerequisites for positive baseline. 2. Invoke GET /reports/api_* with crafted request and correlation-id. 3. Assert status code, response schema, business rules, and side-effects/log evidence.","System handles positive baseline correctly with deterministic response, correct authorization, and no data/security regression."
API Key Reports,GET /reports/api_*,APIKEY-006,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-2,API-key protected report detail endpoint controls - negative validation case APIKEY-006,Validate API-key protected report detail endpoint controls for endpoint GET /reports/api_* under a negative validation condition with production-like assertions.,"1. Prepare test data and prerequisites for negative validation. 2. Invoke GET /reports/api_* with crafted request and correlation-id. 3. Assert status code, response schema, business rules, and side-effects/log evidence.","System handles negative validation correctly with deterministic response, correct authorization, and no data/security regression."
API Key Reports,GET /reports/api_*,APIKEY-007,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-2,API-key protected report detail endpoint controls - edge-condition case APIKEY-007,Validate API-key protected report detail endpoint controls for endpoint GET /reports/api_* under a edge-condition condition with production-like assertions.,"1. Prepare test data and prerequisites for edge-condition. 2. Invoke GET /reports/api_* with crafted request and correlation-id. 3. Assert status code, response schema, business rules, and side-effects/log evidence.","System handles edge-condition correctly with deterministic response, correct authorization, and no data/security regression."
API Key Reports,GET /reports/api_*,APIKEY-008,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-2,API-key protected report detail endpoint controls - break/abuse case APIKEY-008,Validate API-key protected report detail endpoint controls for endpoint GET /reports/api_* under a break/abuse condition with production-like assertions.,"1. Prepare test data and prerequisites for break/abuse. 2. Invoke GET /reports/api_* with crafted request and correlation-id. 3. Assert status code, response schema, business rules, and side-effects/log evidence.","System handles break/abuse correctly with deterministic response, correct authorization, and no data/security regression."
API Key Reports,GET /reports/api_*,APIKEY-009,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-2,API-key protected report detail endpoint controls - positive baseline case APIKEY-009,Validate API-key protected report detail endpoint controls for endpoint GET /reports/api_* under a positive baseline condition with production-like assertions.,"1. Prepare test data and prerequisites for positive baseline. 2. Invoke GET /reports/api_* with crafted request and correlation-id. 3. Assert status code, response schema, business rules, and side-effects/log evidence.","System handles positive baseline correctly with deterministic response, correct authorization, and no data/security regression."
API Key Reports,GET /reports/api_*,APIKEY-010,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-2,API-key protected report detail endpoint controls - negative validation case APIKEY-010,Validate API-key protected report detail endpoint controls for endpoint GET /reports/api_* under a negative validation condition with production-like assertions.,"1. Prepare test data and prerequisites for negative validation. 2. Invoke GET /reports/api_* with crafted request and correlation-id. 3. Assert status code, response schema, business rules, and side-effects/log evidence.","System handles negative validation correctly with deterministic response, correct authorization, and no data/security regression."
API Key Reports,GET /reports/api_*,APIKEY-011,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-2,API-key protected report detail endpoint controls - edge-condition case APIKEY-011,Validate API-key protected report detail endpoint controls for endpoint GET /reports/api_* under a edge-condition condition with production-like assertions.,"1. Prepare test data and prerequisites for edge-condition. 2. Invoke GET /reports/api_* with crafted request and correlation-id. 3. Assert status code, response schema, business rules, and side-effects/log evidence.","System handles edge-condition correctly with deterministic response, correct authorization, and no data/security regression."
API Key Reports,GET /reports/api_*,APIKEY-012,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-2,API-key protected report detail endpoint controls - break/abuse case APIKEY-012,Validate API-key protected report detail endpoint controls for endpoint GET /reports/api_* under a break/abuse condition with production-like assertions.,"1. Prepare test data and prerequisites for break/abuse. 2. Invoke GET /reports/api_* with crafted request and correlation-id. 3. Assert status code, response schema, business rules, and side-effects/log evidence.","System handles break/abuse correctly with deterministic response, correct authorization, and no data/security regression."
API Key Reports,GET /reports/api_*,APIKEY-013,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-2,API-key protected report detail endpoint controls - positive baseline case APIKEY-013,Validate API-key protected report detail endpoint controls for endpoint GET /reports/api_* under a positive baseline condition with production-like assertions.,"1. Prepare test data and prerequisites for positive baseline. 2. Invoke GET /reports/api_* with crafted request and correlation-id. 3. Assert status code, response schema, business rules, and side-effects/log evidence.","System handles positive baseline correctly with deterministic response, correct authorization, and no data/security regression."
API Key Reports,GET /reports/api_*,APIKEY-014,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-2,API-key protected report detail endpoint controls - negative validation case APIKEY-014,Validate API-key protected report detail endpoint controls for endpoint GET /reports/api_* under a negative validation condition with production-like assertions.,"1. Prepare test data and prerequisites for negative validation. 2. Invoke GET /reports/api_* with crafted request and correlation-id. 3. Assert status code, response schema, business rules, and side-effects/log evidence.","System handles negative validation correctly with deterministic response, correct authorization, and no data/security regression."
API Key Reports,GET /reports/api_*,APIKEY-015,Positive/Negative/Edge/Break,P0-P2,Pending,QE API Team,Sprint-2,API-key protected report detail endpoint controls - edge-condition case APIKEY-015,Validate API-key protected report detail endpoint controls for endpoint GET /reports/api_* under a edge-condition condition with production-like assertions.,"1. Prepare test data and prerequisites for edge-condition. 2. Invoke GET /reports/api_* with crafted request and correlation-id. 3. Assert status code, response schema, business rules, and side-effects/log evidence.","System handles edge-condition correctly with deterministic response, correct authorization, and no data/security regression."
Discoveries / Scan Control,GET/POST /discoveries/*,DSC-001,Positive/Negative/Edge/Break,P1-P2,Pending,QE API Team,Sprint-2,discovery and scan-control orchestration behavior - positive baseline case DSC-001,Validate discovery and scan-control orchestration behavior for endpoint GET/POST /discoveries/* under a positive baseline condition with production-like assertions.,"1. Prepare test data and prerequisites for positive baseline. 2. Invoke GET/POST /discoveries/* with crafted request and correlation-id. 3. Assert status code, response schema, business rules, and side-effects/log evidence.","System handles positive baseline correctly with deterministic response, correct authorization, and no data/security regression."
Discoveries / Scan Control,GET/POST /discoveries/*,DSC-002,Positive/Negative/Edge/Break,P1-P2,Pending,QE API Team,Sprint-2,discovery and scan-control orchestration behavior - negative validation case DSC-002,Validate discovery and scan-control orchestration behavior for endpoint GET/POST /discoveries/* under a negative validation condition with production-like assertions.,"1. Prepare test data and prerequisites for negative validation. 2. Invoke GET/POST /discoveries/* with crafted request and correlation-id. 3. Assert status code, response schema, business rules, and side-effects/log evidence.","System handles negative validation correctly with deterministic response, correct authorization, and no data/security regression."
Discoveries / Scan Control,GET/POST /discoveries/*,DSC-003,Positive/Negative/Edge/Break,P1-P2,Pending,QE API Team,Sprint-2,discovery and scan-control orchestration behavior - edge-condition case DSC-003,Validate discovery and scan-control orchestration behavior for endpoint GET/POST /discoveries/* under a edge-condition condition with production-like assertions.,"1. Prepare test data and prerequisites for edge-condition. 2. Invoke GET/POST /discoveries/* with crafted request and correlation-id. 3. Assert status code, response schema, business rules, and side-effects/log evidence.","System handles edge-condition correctly with deterministic response, correct authorization, and no data/security regression."
Discoveries / Scan Control,GET/POST /discoveries/*,DSC-004,Positive/Negative/Edge/Break,P1-P2,Pending,QE API Team,Sprint-2,discovery and scan-control orchestration behavior - break/abuse case DSC-004,Validate discovery and scan-control orchestration behavior for endpoint GET/POST /discoveries/* under a break/abuse condition with production-like assertions.,"1. Prepare test data and prerequisites for break/abuse. 2. Invoke GET/POST /discoveries/* with crafted request and correlation-id. 3. Assert status code, response schema, business rules, and side-effects/log evidence.","System handles break/abuse correctly with deterministic response, correct authorization, and no data/security regression."
Discoveries / Scan Control,GET/POST /discoveries/*,DSC-005,Positive/Negative/Edge/Break,P1-P2,Pending,QE API Team,Sprint-2,discovery and scan-control orchestration behavior - positive baseline case DSC-005,Validate discovery and scan-control orchestration behavior for endpoint GET/POST /discoveries/* under a positive baseline condition with production-like assertions.,"1. Prepare test data and prerequisites for positive baseline. 2. Invoke GET/POST /discoveries/* with crafted request and correlation-id. 3. Assert status code, response schema, business rules, and side-effects/log evidence.","System handles positive baseline correctly with deterministic response, correct authorization, and no data/security regression."
Discoveries / Scan Control,GET/POST /discoveries/*,DSC-006,Positive/Negative/Edge/Break,P1-P2,Pending,QE API Team,Sprint-2,discovery and scan-control orchestration behavior - negative validation case DSC-006,Validate discovery and scan-control orchestration behavior for endpoint GET/POST /discoveries/* under a negative validation condition with production-like assertions.,"1. Prepare test data and prerequisites for negative validation. 2. Invoke GET/POST /discoveries/* with crafted request and correlation-id. 3. Assert status code, response schema, business rules, and side-effects/log evidence.","System handles negative validation correctly with deterministic response, correct authorization, and no data/security regression."
Discoveries / Scan Control,GET/POST /discoveries/*,DSC-007,Positive/Negative/Edge/Break,P1-P2,Pending,QE API Team,Sprint-2,discovery and scan-control orchestration behavior - edge-condition case DSC-007,Validate discovery and scan-control orchestration behavior for endpoint GET/POST /discoveries/* under a edge-condition condition with production-like assertions.,"1. Prepare test data and prerequisites for edge-condition. 2. Invoke GET/POST /discoveries/* with crafted request and correlation-id. 3. Assert status code, response schema, business rules, and side-effects/log evidence.","System handles edge-condition correctly with deterministic response, correct authorization, and no data/security regression."
Discoveries / Scan Control,GET/POST /discoveries/*,DSC-008,Positive/Negative/Edge/Break,P1-P2,Pending,QE API Team,Sprint-2,discovery and scan-control orchestration behavior - break/abuse case DSC-008,Validate discovery and scan-control orchestration behavior for endpoint GET/POST /discoveries/* under a break/abuse condition with production-like assertions.,"1. Prepare test data and prerequisites for break/abuse. 2. Invoke GET/POST /discoveries/* with crafted request and correlation-id. 3. Assert status code, response schema, business rules, and side-effects/log evidence.","System handles break/abuse correctly with deterministic response, correct authorization, and no data/security regression."
Discoveries / Scan Control,GET/POST /discoveries/*,DSC-009,Positive/Negative/Edge/Break,P1-P2,Pending,QE API Team,Sprint-2,discovery and scan-control orchestration behavior - positive baseline case DSC-009,Validate discovery and scan-control orchestration behavior for endpoint GET/POST /discoveries/* under a positive baseline condition with production-like assertions.,"1. Prepare test data and prerequisites for positive baseline. 2. Invoke GET/POST /discoveries/* with crafted request and correlation-id. 3. Assert status code, response schema, business rules, and side-effects/log evidence.","System handles positive baseline correctly with deterministic response, correct authorization, and no data/security regression."
Discoveries / Scan Control,GET/POST /discoveries/*,DSC-010,Positive/Negative/Edge/Break,P1-P2,Pending,QE API Team,Sprint-2,discovery and scan-control orchestration behavior - negative validation case DSC-010,Validate discovery and scan-control orchestration behavior for endpoint GET/POST /discoveries/* under a negative validation condition with production-like assertions.,"1. Prepare test data and prerequisites for negative validation. 2. Invoke GET/POST /discoveries/* with crafted request and correlation-id. 3. Assert status code, response schema, business rules, and side-effects/log evidence.","System handles negative validation correctly with deterministic response, correct authorization, and no data/security regression."
Discoveries / Scan Control,GET/POST /discoveries/*,DSC-011,Positive/Negative/Edge/Break,P1-P2,Pending,QE API Team,Sprint-2,discovery and scan-control orchestration behavior - edge-condition case DSC-011,Validate discovery and scan-control orchestration behavior for endpoint GET/POST /discoveries/* under a edge-condition condition with production-like assertions.,"1. Prepare test data and prerequisites for edge-condition. 2. Invoke GET/POST /discoveries/* with crafted request and correlation-id. 3. Assert status code, response schema, business rules, and side-effects/log evidence.","System handles edge-condition correctly with deterministic response, correct authorization, and no data/security regression."
Discoveries / Scan Control,GET/POST /discoveries/*,DSC-012,Positive/Negative/Edge/Break,P1-P2,Pending,QE API Team,Sprint-2,discovery and scan-control orchestration behavior - break/abuse case DSC-012,Validate discovery and scan-control orchestration behavior for endpoint GET/POST /discoveries/* under a break/abuse condition with production-like assertions.,"1. Prepare test data and prerequisites for break/abuse. 2. Invoke GET/POST /discoveries/* with crafted request and correlation-id. 3. Assert status code, response schema, business rules, and side-effects/log evidence.","System handles break/abuse correctly with deterministic response, correct authorization, and no data/security regression."
